match_id,match_number,date,group,player_id,player_name,team_id,team,opponent_id,position,is_starter,prior_squad_selections,prior_appearances,appearance_rate,starter_rate,expected_minutes,goals_per90_smoothed,attempts_per90_smoothed,on_target_per90_smoothed,recent_attempts_per90,recent_on_target_per90,team_goals_per_match,team_xg_per_match,team_attempts_per_match,opponent_goals_allowed_per_match,opponent_xg_allowed_per_match,opponent_sot_allowed_per_match,days_rest,knockout,scored,scored_any,goals,appeared,actual_minutes,actual_attempts,actual_on_target,baseline_probability
2026-M001-MEX-RSA,1,2026-06-11,Group A,MEX_luis_romo,Luis ROMO,MEX,Mexico,RSA,MF,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,MEX_alexis_vega,Alexis VEGA,MEX,Mexico,RSA,FW,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,11.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,MEX_santiago_gimenez,Santiago GIMENEZ,MEX,Mexico,RSA,FW,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,MEX_armando_gonzalez,Armando GONZALEZ,MEX,Mexico,RSA,FW,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,14.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,MEX_orbelin_pineda,Orbelin PINEDA,MEX,Mexico,RSA,MF,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,MEX_obed_vargas,Obed VARGAS,MEX,Mexico,RSA,MF,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,MEX_gilberto_mora,Gilberto MORA,MEX,Mexico,RSA,MF,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,24.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,MEX_mateo_chavez,Mateo CHAVEZ,MEX,Mexico,RSA,DF,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,MEX_cesar_huerta,Cesar HUERTA,MEX,Mexico,RSA,FW,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,MEX_guillermo_martinez,Guillermo MARTINEZ,MEX,Mexico,RSA,FW,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,0.0,0,0,0.008519060941516998
2026-M001-MEX-RSA,1,2026-06-11,Group A,MEX_luis_chavez,Luis CHAVEZ,MEX,Mexico,RSA,MF,0,0,0,0.5,0.5,7.699999999999999,0.1,0.5,0.2,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,1,24.0,0,0,0.008519060941516998
