row_id,match_id,date,round,matchweek,team,opponent,goals_for,goals_against,is_listed_home,team_is_host,opponent_is_host,attendance,venue,referee,is_knockout,went_to_extra_time,went_to_pens
46,23,2026-06-17,Group stage,1.0,Panama,Ghana,0,1,False,False,False,42942,BMO Field,Glenn Nyberg,False,False,False
47,24,2026-06-17,Group stage,1.0,Uzbekistan,Colombia,1,3,True,False,False,80824,Estadio Banorte,Anthony Taylor,False,False,False
48,24,2026-06-17,Group stage,1.0,Colombia,Uzbekistan,3,1,False,False,False,80824,Estadio Banorte,Anthony Taylor,False,False,False
49,25,2026-06-18,Group stage,2.0,Czechia,South Africa,1,1,True,False,False,67442,Mercedes-Benz Stadium,Tori Penso,False,False,False
50,25,2026-06-18,Group stage,2.0,South Africa,Czechia,1,1,False,False,False,67442,Mercedes-Benz Stadium,Tori Penso,False,False,False
51,26,2026-06-18,Group stage,2.0,Switzerland,Bosnia–Herz,4,1,True,False,False,70026,SoFi Stadium,João Pinheiro,False,False,False
52,26,2026-06-18,Group stage,2.0,Bosnia–Herz,Switzerland,1,4,False,False,False,70026,SoFi Stadium,João Pinheiro,False,False,False
53,27,2026-06-18,Group stage,2.0,Canada,Qatar,6,0,True,True,False,52497,BC Place Stadium,Cristián Garay,False,False,False
54,27,2026-06-18,Group stage,2.0,Qatar,Canada,0,6,False,False,True,52497,BC Place Stadium,Cristián Garay,False,False,False
55,28,2026-06-18,Group stage,2.0,Mexico,Korea Republic,1,0,True,True,False,45522,Estadio Akron,Gustavo Tejera,False,False,False
56,28,2026-06-18,Group stage,2.0,Korea Republic,Mexico,0,1,False,False,True,45522,Estadio Akron,Gustavo Tejera,False,False,False
57,29,2026-06-19,Group stage,2.0,USA,Australia,2,0,True,True,False,66925,Lumen Field,Felix Zwayer,False,False,False
58,29,2026-06-19,Group stage,2.0,Australia,USA,0,2,False,False,True,66925,Lumen Field,Felix Zwayer,False,False,False
59,30,2026-06-19,Group stage,2.0,Scotland,Morocco,0,1,True,False,False,64146,Gillette Stadium,Ilgiz Tantashev,False,False,False
60,30,2026-06-19,Group stage,2.0,Morocco,Scotland,1,0,False,False,False,64146,Gillette Stadium,Ilgiz Tantashev,False,False,False
61,31,2026-06-19,Group stage,2.0,Türkiye,Paraguay,0,1,True,False,False,68827,Levi's Stadium,Iván Barton,False,False,False
62,31,2026-06-19,Group stage,2.0,Paraguay,Türkiye,1,0,False,False,False,68827,Levi's Stadium,Iván Barton,False,False,False
63,32,2026-06-19,Group stage,2.0,Brazil,Haiti,3,0,True,False,False,68324,Lincoln Financial Field,Alejandro Hernández,False,False,False
64,32,2026-06-19,Group stage,2.0,Haiti,Brazil,0,3,False,False,False,68324,Lincoln Financial Field,Alejandro Hernández,False,False,False
65,33,2026-06-20,Group stage,2.0,Netherlands,Sweden,5,1,True,False,False,68777,Reliant Stadium,Michael Oliver,False,False,False
66,33,2026-06-20,Group stage,2.0,Sweden,Netherlands,1,5,False,False,False,68777,Reliant Stadium,Michael Oliver,False,False,False
67,34,2026-06-20,Group stage,2.0,Germany,Côte d'Ivoire,2,1,True,False,False,43036,BMO Field,Juan Gabriel Benítez,False,False,False
68,34,2026-06-20,Group stage,2.0,Côte d'Ivoire,Germany,1,2,False,False,False,43036,BMO Field,Juan Gabriel Benítez,False,False,False
69,35,2026-06-20,Group stage,2.0,Ecuador,Curaçao,0,0,True,False,False,68598,GEHA Field at Arrowhead Stadium,Ma Ning,False,False,False
70,35,2026-06-20,Group stage,2.0,Curaçao,Ecuador,0,0,False,False,False,68598,GEHA Field at Arrowhead Stadium,Ma Ning,False,False,False
71,36,2026-06-20,Group stage,2.0,Tunisia,Japan,0,4,True,False,False,51243,Estadio BBVA,István Kovács,False,False,False
72,36,2026-06-20,Group stage,2.0,Japan,Tunisia,4,0,False,False,False,51243,Estadio BBVA,István Kovács,False,False,False
