match_id,round,matchweek,date,kickoff_local,home_team,away_team,home_goals,away_goals,pens_home,pens_away,goal_difference,total_goals,attendance,venue,referee,went_to_extra_time,went_to_pens,is_knockout,home_is_host,away_is_host
42,Group stage,2.0,2026-06-22,17:00,France,Iraq,3,0,,,3,3,68324,Lincoln Financial Field,Drew Fischer,False,False,False,False,False
43,Group stage,2.0,2026-06-22,20:00,Norway,Senegal,3,2,,,1,5,80663,MetLife Stadium,Wilton Sampaio,False,False,False,False,False
44,Group stage,2.0,2026-06-22,20:00,Jordan,Algeria,1,2,,,-1,3,68371,Levi's Stadium,Slavko Vinčič,False,False,False,False,False
45,Group stage,2.0,2026-06-23,12:00,Portugal,Uzbekistan,5,0,,,5,5,68777,Reliant Stadium,Jalal Jayed,False,False,False,False,False
46,Group stage,2.0,2026-06-23,16:00,England,Ghana,0,0,,,0,0,63983,Gillette Stadium,Said Martínez,False,False,False,False,False
47,Group stage,2.0,2026-06-23,19:00,Panama,Croatia,0,1,,,-1,1,43036,BMO Field,Pierre Ghislain Atcho,False,False,False,False,False
48,Group stage,2.0,2026-06-23,20:00,Colombia,Congo DR,1,0,,,1,1,45358,Estadio Akron,Maurizio Mariani,False,False,False,False,False
49,Group stage,3.0,2026-06-24,12:00,Switzerland,Canada,2,1,,,1,3,52497,BC Place Stadium,Ramon Abatti,False,False,False,False,True
50,Group stage,3.0,2026-06-24,12:00,Bosnia–Herz,Qatar,3,1,,,2,4,66925,Lumen Field,Jesús Valenzuela,False,False,False,False,False
51,Group stage,3.0,2026-06-24,18:00,Scotland,Brazil,0,3,,,-3,3,64478,Hard Rock Stadium,César Arturo Ramos,False,False,False,False,False
52,Group stage,3.0,2026-06-24,18:00,Morocco,Haiti,4,2,,,2,6,68239,Mercedes-Benz Stadium,Danny Makkelie,False,False,False,False,False
53,Group stage,3.0,2026-06-24,19:00,South Africa,Korea Republic,1,0,,,1,1,51243,Estadio BBVA,Facundo Tello,False,False,False,False,False
54,Group stage,3.0,2026-06-24,19:00,Czechia,Mexico,0,3,,,-3,3,80824,Estadio Banorte,Yael Falcón,False,False,False,False,True
55,Group stage,3.0,2026-06-25,16:00,Curaçao,Côte d'Ivoire,0,2,,,-2,2,68324,Lincoln Financial Field,Glenn Nyberg,False,False,False,False,False
56,Group stage,3.0,2026-06-25,16:00,Ecuador,Germany,2,1,,,1,3,80663,MetLife Stadium,Tori Penso,False,False,False,False,False
57,Group stage,3.0,2026-06-25,18:00,Tunisia,Netherlands,1,3,,,-2,4,68391,GEHA Field at Arrowhead Stadium,Katia García,False,False,False,False,False
58,Group stage,3.0,2026-06-25,18:00,Japan,Sweden,1,1,,,0,2,70137,AT&T Stadium,Iván Barton,False,False,False,False,False
59,Group stage,3.0,2026-06-25,19:00,Türkiye,USA,3,2,,,1,5,70492,SoFi Stadium,Mustapha Ghorbal,False,False,False,False,True
60,Group stage,3.0,2026-06-25,19:00,Paraguay,Australia,0,0,,,0,0,68827,Levi's Stadium,Clément Turpin,False,False,False,False,False
61,Group stage,3.0,2026-06-26,15:00,Norway,France,1,4,,,-3,5,64146,Gillette Stadium,Michael Oliver,False,False,False,False,False
62,Group stage,3.0,2026-06-26,15:00,Senegal,Iraq,5,0,,,5,5,43036,BMO Field,Anthony Taylor,False,False,False,False,False
63,Group stage,3.0,2026-06-26,18:00,Uruguay,Spain,0,1,,,-1,1,45065,Estadio Akron,Ismail Elfath,False,False,False,False,False
64,Group stage,3.0,2026-06-26,19:00,Cabo Verde,Saudi Arabia,0,0,,,0,0,68278,Reliant Stadium,François Letexier,False,False,False,False,False
65,Group stage,3.0,2026-06-26,20:00,Egypt,IR Iran,1,1,,,0,2,66925,Lumen Field,Szymon Marciniak,False,False,False,False,False
66,Group stage,3.0,2026-06-26,20:00,New Zealand,Belgium,1,5,,,-4,6,52497,BC Place Stadium,Adham Makhadmeh,False,False,False,False,False
67,Group stage,3.0,2026-06-27,17:00,Croatia,Ghana,2,1,,,1,3,68324,Lincoln Financial Field,Drew Fischer,False,False,False,False,False
68,Group stage,3.0,2026-06-27,17:00,Panama,England,0,2,,,-2,2,80663,MetLife Stadium,Abdulrahman Ibrahim Al Jassim,False,False,False,False,False
69,Group stage,3.0,2026-06-27,19:30,Congo DR,Uzbekistan,3,1,,,2,4,68239,Mercedes-Benz Stadium,Felix Zwayer,False,False,False,False,False
70,Group stage,3.0,2026-06-27,19:30,Colombia,Portugal,0,0,,,0,0,64478,Hard Rock Stadium,Alireza Faghani,False,False,False,False,False
71,Group stage,3.0,2026-06-27,21:00,Jordan,Argentina,1,3,,,-2,4,70649,AT&T Stadium,István Kovács,False,False,False,False,False
72,Group stage,3.0,2026-06-27,21:00,Algeria,Austria,3,3,,,0,6,69045,GEHA Field at Arrowhead Stadium,Ilgiz Tantashev,False,False,False,False,False
73,Round of 32,,2026-06-28,12:00,South Africa,Canada,0,1,,,-1,1,69237,SoFi Stadium,João Pinheiro,False,False,True,False,True
74,Round of 32,,2026-06-29,12:00,Brazil,Japan,2,1,,,1,3,68777,Reliant Stadium,Maurizio Mariani,False,False,True,False,False
75,Round of 32,,2026-06-29,16:30,Germany,Paraguay,1,1,3.0,4.0,0,2,63945,Gillette Stadium,Jalal Jayed,True,True,True,False,False
76,Round of 32,,2026-06-29,19:00,Netherlands,Morocco,1,1,2.0,3.0,0,2,51243,Estadio BBVA,Wilton Sampaio,True,True,True,False,False
77,Round of 32,,2026-06-30,12:00,Côte d'Ivoire,Norway,1,2,,,-1,3,69665,AT&T Stadium,Jesús Valenzuela,False,False,True,False,False
78,Round of 32,,2026-06-30,17:00,France,Sweden,3,0,,,3,3,80663,MetLife Stadium,Danny Makkelie,False,False,True,False,False
79,Round of 32,,2026-06-30,20:00,Mexico,Ecuador,2,0,,,2,2,80824,Estadio Banorte,Slavko Vinčič,False,False,True,True,False
80,Round of 32,,2026-07-01,12:00,England,Congo DR,2,1,,,1,3,68239,Mercedes-Benz Stadium,Adham Makhadmeh,False,False,True,False,False
81,Round of 32,,2026-07-01,13:00,Belgium,Senegal,3,2,,,1,5,66925,Lumen Field,Said Martínez,True,False,True,False,False
82,Round of 32,,2026-07-01,17:00,USA,Bosnia–Herz,2,0,,,2,2,68827,Levi's Stadium,Raphael Claus,False,False,True,True,False
83,Round of 32,,2026-07-02,12:00,Spain,Austria,3,0,,,3,3,70492,SoFi Stadium,Glenn Nyberg,False,False,True,False,False
84,Round of 32,,2026-07-02,19:00,Portugal,Croatia,2,1,,,1,3,43036,BMO Field,Espen Eskås,False,False,True,False,False
