match_id,date,stage_id,team_id,opponent_id,goals_for,goals_against,xg,xg_against,result_type,is_home,possession_pct,total_shots,shots_on_target,corners,fouls,offsides,saves,data_source,team_name,confederation,opponent_name,stage_name,is_knockout,result,win,outcome,opp_own_goals,goals_from_play,conversion_rate
99,2026-07-11,4,36,45,1,2,0.77,0.96,AET,1,42,9,3,4,12,1,4,sofascore.com,Norway,UEFA,England,Quarter-finals,True,L,0,Not win,0,1,11.11111111111111
100,2026-07-12,4,37,8,3,1,2.0,0.53,AET,1,63,18,8,7,9,3,2,sofascore.com,Argentina,CONMEBOL,Switzerland,Quarter-finals,True,W,1,Win,0,3,16.666666666666664
101,2026-07-14,5,33,29,0,2,0.3,1.63,Regular,1,41,8,2,3,11,0,4,sofascore.com,France,UEFA,Spain,Semi-finals,True,L,0,Not win,0,0,0.0
102,2026-07-15,5,45,37,1,2,0.54,1.8,Regular,1,47,10,4,5,12,1,3,sofascore.com,England,UEFA,Argentina,Semi-finals,True,L,0,Not win,0,1,10.0
103,2026-07-18,6,33,45,4,6,2.88,2.88,Regular,1,50,18,9,4,9,1,5,sofascore.com,France,UEFA,England,Third-place match,True,L,0,Not win,0,4,22.22222222222222
104,2026-07-19,7,29,37,1,0,1.42,0.88,AET,1,54,12,5,6,11,2,3,sofascore.com,Spain,UEFA,Argentina,Final,True,W,1,Win,0,1,8.333333333333332
1,2026-06-11,1,2,1,0,2,0.52,1.84,Regular,0,43,3,2,3,15,1,4,fifa.com,South Africa,CAF,Mexico,Group Stage,False,L,0,Not win,0,0,0.0
2,2026-06-11,1,4,3,1,2,1.12,1.45,Regular,0,46,10,3,3,13,2,4,sofascore.com,Czechia,UEFA,South Korea,Group Stage,False,L,0,Not win,0,1,10.0
3,2026-06-12,1,6,5,1,1,0.98,1.35,Regular,0,29,8,3,4,15,1,5,fifa.com,Bosnia and Herzegovina,UEFA,Canada,Group Stage,False,D,0,Not win,0,1,12.5
4,2026-06-12,1,14,13,1,4,0.88,2.76,Regular,0,28,9,1,1,17,3,9,fifa.com,Paraguay,CONMEBOL,USA,Group Stage,False,L,0,Not win,0,1,11.11111111111111
5,2026-06-13,1,8,7,1,1,1.54,0.78,Regular,0,58,26,7,10,11,0,2,fifa.com,Switzerland,UEFA,Qatar,Group Stage,False,D,0,Not win,0,1,3.8461538461538463
6,2026-06-13,1,10,9,1,1,1.1,1.62,Regular,0,45,14,3,2,14,1,4,fifa.com,Morocco,CAF,Brazil,Group Stage,False,D,0,Not win,0,1,7.142857142857142
7,2026-06-13,1,12,11,1,0,0.65,1.25,Regular,0,56,12,3,6,10,3,2,sofascore.com,Scotland,UEFA,Haiti,Group Stage,False,W,1,Win,0,1,8.333333333333332
8,2026-06-13,1,16,15,0,2,0.72,1.48,Regular,0,62,30,7,8,4,3,2,fifa.com,Türkiye,UEFA,Australia,Group Stage,False,L,0,Not win,0,0,0.0
9,2026-06-14,1,18,17,1,7,0.44,4.82,Regular,0,37,8,1,1,12,2,5,sofascore.com,Curaçao,CONCACAF,Germany,Group Stage,False,L,0,Not win,0,1,12.5
