Rk,Player,Pos,SquadCode,Country,Age,Club,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save_Pct,W,D,L,CS,CS_Pct,PKatt,PKA,PKsv,PKm,PK_Save_Pct,Stage,Save_Pct_calc,SoTA90,Saves90,GA90_calc,Confederation,ConfGroup,reached_knockout,ClubCountryCode,plays_abroad,is_number_one,eligible_perf,eligible_rate
40,Guillermo Ochoa,GK,mx,Mexico,40,1.cy AEL Limassol,1985,1,0,13,0.1,0,0.0,0,0,,0,0,0,1,,0,0,0,0,,Group stage only,,0.0,0.0,0.0,CONCACAF,Rest of world,False,cy,True,False,False,False
41,Mohammed Al-Owais,GK,sa,Saudi Arabia,34,1.sa Al-Ula,1991,3,3,270,3.0,5,1.67,21,16,76.2,0,2,1,1,33.3,0,0,0,0,,Group stage only,76.19047619047619,7.0,5.333333333333333,1.6666666666666667,AFC,Rest of world,False,sa,False,True,True,True
42,Jordan Pickford,GK,eng,England,32,1.eng Everton,1994,7,7,660,7.3,8,1.09,23,15,65.2,5,1,1,2,28.6,1,1,0,0,0.0,Knockout,65.21739130434783,3.1506849315068495,2.0547945205479454,1.095890410958904,UEFA,UEFA/CONMEBOL,True,eng,False,True,True,True
43,Johny Placide,GK,ht,Haiti,38,2.fr Bastia,1988,3,3,270,3.0,8,2.67,19,11,57.9,0,0,3,0,0.0,0,0,0,0,,Group stage only,57.89473684210527,6.333333333333333,3.6666666666666665,2.6666666666666665,CONCACAF,Rest of world,False,fr,True,True,True,True
44,Raúl Rangel,GK,mx,Mexico,26,1.mx Guadalajara,2000,5,5,437,4.9,3,0.62,11,8,72.7,4,0,1,4,80.0,1,1,0,0,0.0,Knockout,72.72727272727273,2.2448979591836733,1.6326530612244896,0.6122448979591836,CONCACAF,Rest of world,True,mx,False,True,True,True
45,Sergio Rochet,GK,uy,Uruguay,33,1.br Internacional,1993,1,0,45,0.5,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,Group stage only,,0.0,0.0,0.0,CONMEBOL,UEFA/CONMEBOL,False,br,True,False,False,False
46,Eloy Room,GK,cw,Curaçao,37,2.us Miami FC,1989,3,3,270,3.0,9,3.0,29,20,69.0,0,1,2,1,33.3,1,1,0,0,0.0,Group stage only,68.96551724137932,9.666666666666666,6.666666666666667,3.0,CONCACAF,Rest of world,False,us,True,True,True,True
47,Mathew Ryan,GK,au,Australia,34,1.es Levante,1992,1,0,2,0.0,0,0.0,0,0,,0,0,0,0,,0,0,0,0,,Group stage only,,,,,AFC,Rest of world,False,es,True,False,False,False
48,Alexander Schlager,GK,at,Austria,30,1.at RB Salzburg,1996,4,4,360,4.0,9,2.25,22,13,59.1,1,1,2,0,0.0,1,0,0,1,,Knockout,59.09090909090909,5.5,3.25,2.25,UEFA,UEFA/CONMEBOL,True,at,False,True,True,True
49,Egil Selvik,GK,no,Norway,28,2.eng Watford,1997,1,1,90,1.0,4,4.0,9,5,55.6,0,0,1,0,0.0,0,0,0,0,,Group stage only,55.55555555555556,9.0,5.0,4.0,UEFA,UEFA/CONMEBOL,False,eng,True,False,True,True
50,Kim Seung-gyu,GK,kr,Korea Republic,35,1.jp FC Tokyo,1990,3,3,270,3.0,3,1.0,12,9,75.0,1,0,2,0,0.0,0,0,0,0,,Group stage only,75.0,4.0,3.0,1.0,AFC,Rest of world,False,jp,True,True,True,True
51,Mostafa Shobeir,GK,eg,Egypt,26,1.eg Al Ahly,2000,5,5,480,5.3,7,1.31,19,12,63.2,1,3,1,0,0.0,2,0,2,0,100.0,Knockout,63.1578947368421,3.5849056603773586,2.2641509433962264,1.3207547169811322,CAF,Rest of world,True,eg,False,True,True,True
52,Unai Simón,GK,es,Spain,29,1.es Athletic Club,1997,8,8,750,8.3,1,0.12,11,9,90.9,7,1,0,7,87.5,0,0,0,0,,Knockout,90.9090909090909,1.325301204819277,1.0843373493975903,0.12048192771084336,UEFA,UEFA/CONMEBOL,True,es,False,True,True,True
53,Zion Suzuki,GK,jp,Japan,23,1.it Parma,2002,4,4,360,4.0,5,1.25,17,12,70.6,1,2,1,1,25.0,0,0,0,0,,Knockout,70.58823529411765,4.25,3.0,1.25,AFC,Rest of world,True,it,True,True,True,True
54,Matt Turner,GK,us,USA,31,1.us NE Revolution,1994,1,1,90,1.0,3,3.0,3,0,0.0,0,0,1,0,0.0,0,0,0,0,,Group stage only,0.0,3.0,0.0,3.0,CONCACAF,Rest of world,False,us,False,False,False,True
55,Camilo Vargas,GK,co,Colombia,37,1.mx Atlas,1989,5,5,480,5.3,1,0.19,7,6,85.7,3,2,0,4,80.0,0,0,0,0,,Knockout,85.71428571428571,1.3207547169811322,1.1320754716981132,0.18867924528301888,CONMEBOL,UEFA/CONMEBOL,True,mx,True,True,True,True
56,Nikola Vasilj,GK,ba,Bosnia–Herz,30,1.de St Pauli,1995,4,4,360,4.0,8,2.0,14,6,42.9,1,1,2,0,0.0,1,1,0,0,0.0,Knockout,42.857142857142854,3.5,1.5,2.0,UEFA,UEFA/CONMEBOL,True,de,True,True,True,True
57,Bart Verbruggen,GK,nl,Netherlands,23,1.eng Brighton,2002,4,4,390,4.3,5,1.15,21,16,76.2,2,2,0,0,0.0,0,0,0,0,,Knockout,76.19047619047619,4.883720930232558,3.7209302325581395,1.1627906976744187,UEFA,UEFA/CONMEBOL,True,eng,True,True,True,True
58,Vozinha,GK,cv,Cabo Verde,40,2.pt Chaves,1986,4,4,390,4.3,5,1.15,23,18,78.3,0,3,1,2,50.0,0,0,0,0,,Knockout,78.26086956521739,5.348837209302326,4.186046511627907,1.1627906976744187,CAF,Rest of world,True,pt,True,True,True,True
59,Jacob Widell Zetterström,GK,se,Sweden,27,2.eng Derby County,1998,2,2,180,2.0,4,2.0,15,11,73.3,0,1,1,0,0.0,0,0,0,0,,Group stage only,73.33333333333333,7.5,5.5,2.0,UEFA,UEFA/CONMEBOL,False,eng,True,True,True,True
60,Ronwen Williams,GK,za,South Africa,34,1.za Sundowns,1992,4,4,360,4.0,4,1.0,15,11,73.3,1,1,2,1,25.0,0,0,0,0,,Knockout,73.33333333333333,3.75,2.75,1.0,CAF,Rest of world,True,za,False,True,True,True
61,Utkir Yusupov,GK,uz,Uzbekistan,35,1.uz Navbahor,1991,1,1,90,1.0,3,3.0,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Group stage only,25.0,4.0,1.0,3.0,AFC,Rest of world,False,uz,False,False,False,True
62,Luca Zidane,GK,dz,Algeria,28,2.es Granada,1998,3,3,270,3.0,6,2.0,14,8,57.1,1,0,2,0,0.0,0,0,0,0,,Group stage only,57.14285714285714,4.666666666666667,2.6666666666666665,2.0,CAF,Rest of world,False,es,True,True,True,True
