feature,coefficient,odds_ratio
position_FW,1.550870417832731,4.715572915542983
position_GK,-1.0211178788503257,0.3601920639412884
position_MF,1.0010207253473753,2.7210578641666445
is_starter,0.8158713626114069,2.261145091477674
prior_appearances,0.5788722537614727,1.7840253679532814
prior_squad_selections,-0.559861288105582,0.5712883028357381
opponent_sot_allowed_per_match,-0.34140754814241947,0.7107691765130364
opponent_xg_allowed_per_match,0.31754404877376297,1.3737497555248188
appearance_rate,-0.31731312113408816,0.728102735074477
expected_minutes,0.18167207247627493,1.1992208718619262
goals_per90_smoothed,0.18100750580790465,1.198424174401083
opponent_goals_allowed_per_match,0.1651077466512498,1.179520201216673
attempts_per90_smoothed,0.14441922091000134,1.1553683615892485
on_target_per90_smoothed,0.14063132824127184,1.1510002284752794
knockout,-0.12297308314444562,0.884287464478433
team_attempts_per_match,0.11159533071386983,1.1180603244141327
starter_rate,-0.10194818627882156,0.9030763422024682
recent_on_target_per90,-0.09136569279963166,0.9126838879385005
team_goals_per_match,-0.0783811335244325,0.9246119587645861
days_rest,-0.049815037032620725,0.9514053829901287
recent_attempts_per90,-0.04814710320314821,0.9529935883564902
team_xg_per_match,-0.006967405522299236,0.9930568105737969
