model,brier_score,log_loss,roc_auc,top1_scorer_hit_rate,top3_scorer_hit_rate,evaluated_matches_with_scorer
Random forest,0.03221956358183421,0.12439167230321108,0.8636914082889655,0.4642857142857143,0.7857142857142857,28
Regularised logistic,0.032315288910846084,0.12316478051425088,0.8770435327278422,0.5,0.8214285714285714,28
Historical rate baseline,0.03314888970007822,0.12595629891947951,0.8539513519156487,0.4642857142857143,0.7142857142857143,28
